,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,21.85,41.63,81.54,100.90,110.63,51.24,58.74,60.21
Expenses +,18.92,37.87,75.05,89.81,99.79,29.78,45.64,48.96
Operating Profit,2.93,3.76,6.49,11.09,10.84,21.46,13.10,11.25
OPM %,13.41%,9.03%,7.96%,10.99%,9.80%,41.88%,22.30%,18.68%
Other Income +,0.02,0.15,0.92,0.17,0.41,0.39,0.43,0.41
Interest,1.53,1.54,2.28,4.23,4.29,6.55,5.38,4.70
Depreciation,0.42,0.46,0.47,0.77,1.12,2.17,0.94,0.89
Profit before tax,1.00,1.91,4.66,6.26,5.84,13.13,7.21,6.07
Tax %,40.00%,28.27%,28.54%,27.48%,25.00%,26.81%,27.32%,
Net Profit,0.61,1.36,3.33,4.54,4.38,9.61,5.24,4.41
EPS in Rs,3.05,1.62,2.92,3.96,3.80,8.43,4.61,3.87
