,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,35,35,35,35,35,35,35
Reserves,647,800,964,955,"1,101","1,260","1,262"
Borrowings +,288,394,541,621,609,694,748
Other Liabilities +,175,299,310,571,606,770,788
Total Liabilities,"1,144","1,527","1,851","2,183","2,351","2,758","2,833"
Fixed Assets +,134,122,155,172,187,167,159
CWIP,0,17,2,17,0,2,6
Investments,518,634,740,847,"1,025","1,190","1,175"
Other Assets +,492,756,954,"1,146","1,138","1,400","1,493"
Total Assets,"1,144","1,527","1,851","2,183","2,351","2,758","2,833"
