,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,114.38,120.80,127.92,128.32,133.25,136.38,163.56,148.46,72.97,70.30
Expenses +,113.11,120.27,125.22,126.33,133.86,136.85,162.42,148.65,72.47,68.68
Operating Profit,1.27,0.53,2.70,1.99,-0.61,-0.47,1.14,-0.19,0.50,1.62
OPM %,1.11%,0.44%,2.11%,1.55%,-0.46%,-0.34%,0.70%,-0.13%,0.69%,2.30%
Other Income +,0.03,0.14,0.66,1.16,1.68,2.17,1.80,3.36,1.57,1.81
Interest,0.09,1.18,1.09,0.96,0.81,0.68,0.79,0.64,0.74,0.98
Depreciation,0.01,0.99,0.71,0.63,0.55,0.47,0.40,0.35,0.34,0.35
Profit before tax,1.20,-1.50,1.56,1.56,-0.29,0.55,1.75,2.18,0.99,2.10
Tax %,33.33%,-2.00%,32.69%,33.97%,-200.00%,100.00%,36.00%,20.18%,22.22%,
Net Profit,0.84,-1.51,1.06,1.04,-0.87,0.01,1.12,1.73,0.77,2.11
EPS in Rs,0.02,-0.02,0.02,0.02,-0.02,0.00,0.02,0.03,0.01,0.03
