,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7,7,7,7,7,7,7,7
Reserves,35,102,106,106,106,120,154,168,200,240,244,290,373
Borrowings +,141,148,172,166,152,122,119,141,148,174,158,186,106
Other Liabilities +,38,72,68,97,104,117,134,123,122,153,159,140,132
Total Liabilities,222,329,353,376,370,366,414,439,477,574,567,623,618
Fixed Assets +,97,196,207,228,226,225,251,257,267,318,312,307,311
CWIP,19,8,16,4,1,1,5,7,13,9,5,3,3
Investments,0,0,0,0,0,0,1,1,1,1,1,1,27
Other Assets +,106,125,129,144,143,141,158,175,196,247,250,313,277
Total Assets,222,329,353,376,370,366,414,439,477,574,567,623,618
