,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,16,16,25,32,22,22,35,35,22,22,22,22
Reserves,117,19,20,23,-6,-52,-86,-258,-414,-313,-371,-386
Borrowings +,652,660,647,601,581,534,518,569,446,490,523,529
Other Liabilities +,82,86,139,176,161,171,201,180,270,113,131,161
Total Liabilities,868,781,823,819,758,676,655,513,324,313,306,326
Fixed Assets +,481,554,517,490,397,368,363,340,211,196,183,170
CWIP,30,22,14,8,4,7,7,3,0,0,0,0
Investments,1,1,3,8,0,0,0,0,0,0,0,0
Other Assets +,355,205,290,313,357,301,286,170,112,117,123,156
Total Assets,868,781,823,819,758,676,655,513,324,313,306,326
