,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,90,90,90,90,90,161,168,174,178,178,182,217,217
Reserves,627,640,623,570,428,465,467,494,501,541,505,585,629
Borrowings +,369,382,304,360,334,269,274,278,253,255,215,165,163
Other Liabilities +,365,392,461,455,503,457,415,376,398,381,414,523,572
Total Liabilities,"1,452","1,505","1,478","1,475","1,356","1,352","1,323","1,322","1,330","1,356","1,316","1,490","1,582"
Fixed Assets +,205,206,205,188,189,116,130,119,114,108,99,94,120
CWIP,20,26,22,25,2,0,0,1,0,0,0,0,0
Investments,102,80,65,68,61,122,84,86,83,98,81,76,76
Other Assets +,"1,125","1,193","1,186","1,193","1,103","1,114","1,109","1,116","1,133","1,150","1,137","1,320","1,385"
Total Assets,"1,452","1,505","1,478","1,475","1,356","1,352","1,323","1,322","1,330","1,356","1,316","1,490","1,582"
