,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"10,136","8,978","2,749","66,152","73,710","64,262","72,225","91,866","92,048","84,447","88,021","132,732","149,195"
Expenses +,"5,008","5,478","2,283","46,557","51,595","82,741","50,849","66,989","68,877","63,704","60,703","87,908","106,856"
Operating Profit,"5,129","3,500",465,"19,595","22,114","-18,479","21,376","24,877","23,171","20,743","27,318","44,824","42,339"
OPM %,51%,39%,17%,30%,30%,-29%,30%,27%,25%,25%,31%,34%,28%
Other Income +,615,168,33,"1,874","-19,222","4,290","4,423","6,087","4,270","-14,932","2,743","1,832","2,628"
Interest,87,433,475,"5,094","5,659","5,778","5,855","5,112","5,689","4,977","5,210","4,797","5,397"
Depreciation,96,106,197,"6,882","7,159","8,572","6,292","6,283","8,192","9,093","7,638","8,895","9,741"
Profit before tax,"5,560","3,129",-174,"9,493","-9,925","-28,540","13,652","19,569","13,560","-8,259","17,213","32,964","29,829"
Tax %,24%,33%,25%,-9%,-15%,37%,17%,30%,28%,43%,13%,28%,
Net Profit,"4,222","2,696","2,280","11,421","-11,369","-17,862","11,316","13,692","9,698","-4,744","15,032","23,710","20,895"
EPS in Rs,48.58,31.01,26.24,21.25,-52.77,-41.39,23.47,27.82,19.01,-17.93,31.21,50.58,43.55
