,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,086","2,326","2,594","2,503","2,721","3,498","4,030"
Expenses +,"1,876","2,135","2,369","2,244","2,409","3,159","3,677"
Operating Profit,210,191,225,259,312,339,353
OPM %,10%,8%,9%,10%,11%,10%,9%
Other Income +,12,10,20,24,20,12,15
Interest,2,2,2,4,6,8,7
Depreciation,16,20,23,29,39,49,55
Profit before tax,204,180,220,250,288,294,305
Tax %,29%,25%,23%,25%,30%,22%,
Net Profit,145,135,168,188,202,228,241
EPS in Rs,3.41,3.15,3.92,4.37,4.67,5.28,5.56
