,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28,28,28,28,28,28,28,28,28,28,28,28,28
Reserves,173,214,229,259,277,311,380,461,553,582,489,531,640
Borrowings +,107,84,40,16,31,14,0,0,86,269,353,298,295
Other Liabilities +,112,106,112,146,163,231,201,284,404,364,223,371,335
Total Liabilities,420,432,409,449,499,585,609,773,"1,071","1,243","1,094","1,229","1,298"
Fixed Assets +,80,83,78,85,71,67,61,77,117,371,288,265,262
CWIP,5,1,4,1,1,1,1,3,6,3,2,7,6
Investments,0,0,0,0,0,0,68,72,1,41,141,42,27
Other Assets +,334,348,328,363,427,517,479,621,948,829,662,915,"1,003"
Total Assets,420,432,409,449,499,585,609,773,"1,071","1,243","1,094","1,229","1,298"
