,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,418,480,507,643,769,674,679,"1,069","1,361"
Expenses +,339,396,441,562,667,591,600,911,"1,149"
Operating Profit,79,84,66,81,102,82,79,158,213
OPM %,19%,18%,13%,13%,13%,12%,12%,15%,16%
Other Income +,1,2,7,8,3,7,3,6,10
Interest,34,37,44,49,47,39,27,28,29
Depreciation,12,13,16,19,21,20,20,23,25
Profit before tax,34,36,14,22,37,30,34,112,168
Tax %,36%,41%,52%,35%,35%,27%,-1%,28%,
Net Profit,22,21,7,14,24,22,34,81,122
EPS in Rs,3.66,3.56,1.10,2.42,4.08,3.72,5.78,13.63,20.50
