,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,145,80,80,80,80,16,342,342,342,17,17,17
Reserves,178,328,427,478,479,505,718,885,602,493,415,348,303
Borrowings +,307,564,665,894,"1,012",951,"1,011",824,955,943,253,359,366
Other Liabilities +,93,393,468,470,391,583,317,668,756,758,605,543,562
Total Liabilities,587,"1,299","1,577","1,858","1,898","2,055","2,062","2,394","2,329","2,210","1,289","1,266","1,248"
Fixed Assets +,264,595,709,808,813,814,879,"1,035",965,"1,045",502,520,514
CWIP,2,8,27,38,90,94,76,65,122,89,60,40,42
Investments,0,1,0,0,3,3,3,3,3,86,199,199,199
Other Assets +,321,695,840,"1,011",992,"1,144","1,104","1,290","1,239",990,529,507,493
Total Assets,587,"1,299","1,577","1,858","1,898","2,055","2,062","2,394","2,329","2,210","1,289","1,266","1,248"
