,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,191","5,186","5,531","5,266","5,183","5,720","6,033","6,404","7,124","7,658","7,556","7,934","8,997"
Expenses +,"4,728","5,021","5,293","5,000","4,773","5,376","5,484","5,742","6,564","7,040","6,975","7,362","8,423"
Operating Profit,464,165,238,266,411,344,549,663,560,618,580,572,574
OPM %,9%,3%,4%,5%,8%,6%,9%,10%,8%,8%,8%,7%,6%
Other Income +,98,120,102,121,154,261,212,178,174,179,189,188,51
Interest,17,31,33,23,23,16,16,12,33,21,26,26,27
Depreciation,21,34,28,25,28,26,24,24,24,32,34,37,37
Profit before tax,524,219,280,340,514,563,720,805,677,744,709,697,560
Tax %,33%,26%,26%,28%,25%,30%,28%,28%,24%,30%,25%,27%,
Net Profit,352,162,207,246,388,393,520,578,514,521,529,506,383
EPS in Rs,10.80,4.90,6.28,7.42,11.62,11.70,15.64,17.30,15.35,15.63,15.87,15.23,11.49
