,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,17,17,17,17,17,17,17,17,17,17,16,16
Reserves,45,46,40,43,42,45,65,101,68,53,57,50,36
Borrowings +,17,11,11,9,2,0,0,1,3,19,17,18,15
Other Liabilities +,19,17,17,23,15,12,15,26,29,20,27,25,24
Total Liabilities,99,91,85,92,75,74,97,145,117,109,118,109,91
Fixed Assets +,17,14,15,16,16,17,17,20,24,23,29,28,28
CWIP,0,0,0,1,0,0,0,0,0,2,0,0,0
Investments,17,18,12,10,12,12,30,68,58,47,44,43,26
Other Assets +,65,59,58,65,47,46,50,57,36,37,45,39,37
Total Assets,99,91,85,92,75,74,97,145,117,109,118,109,91
