,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,102","3,197","3,618","4,337","5,264","5,924","6,638","6,050","6,527","6,741","7,340","9,311","8,716"
Expenses +,"1,870","2,814","3,022","3,416","3,987","4,325","5,054","4,926","5,458","5,526","5,988","7,950","7,898"
Operating Profit,233,383,597,921,"1,278","1,599","1,584","1,124","1,068","1,215","1,352","1,362",818
OPM %,11%,12%,16%,21%,24%,27%,24%,19%,16%,18%,18%,15%,9%
Other Income +,39,-50,44,104,91,84,-384,81,-187,139,68,63,49
Interest,108,192,198,235,283,237,158,141,159,178,198,131,108
Depreciation,120,138,145,686,333,372,505,504,436,481,454,420,433
Profit before tax,44,3,298,104,753,"1,074",536,560,287,694,769,873,326
Tax %,93%,637%,25%,19%,28%,30%,32%,29%,21%,24%,28%,30%,
Net Profit,1,-16,225,84,544,749,362,398,226,524,551,607,212
EPS in Rs,0.02,-0.15,2.25,0.92,5.37,7.33,3.56,3.83,2.09,5.05,5.37,5.98,2.15
