,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,24,24,24,24,24
Reserves,402,457,575,616,640,637,710,710
Borrowings +,386,369,359,495,650,698,876,858
Other Liabilities +,495,532,718,880,674,"1,118","1,364","1,534"
Total Liabilities,"1,295","1,369","1,663","2,015","1,987","2,476","2,974","3,127"
Fixed Assets +,518,526,557,710,753,883,903,946
CWIP,17,22,65,65,198,114,126,147
Investments,17,19,21,23,23,23,24,24
Other Assets +,743,802,"1,019","1,216","1,013","1,456","1,921","2,009"
Total Assets,"1,295","1,369","1,663","2,015","1,987","2,476","2,974","3,127"
