,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,987","2,173","2,563","3,441","2,672","2,413","3,966","4,587"
Expenses +,"1,815","1,987","2,364","3,196","2,500","2,270","3,712","4,344"
Operating Profit,172,186,199,245,172,143,255,243
OPM %,9%,9%,8%,7%,6%,6%,6%,5%
Other Income +,2,4,23,8,8,2,16,15
Interest,58,48,45,66,67,59,71,86
Depreciation,60,64,70,79,78,86,101,87
Profit before tax,56,78,106,108,36,1,98,85
Tax %,29%,24%,29%,30%,-33%,85%,24%,
Net Profit,41,59,75,76,47,0,74,65
EPS in Rs,17.07,24.58,31.15,31.79,20.39,0.76,31.78,28.35
