,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,127,127,127,127,127,127
Reserves,"1,669","2,019","2,437","2,731","3,231","3,304"
Borrowings +,0,0,0,51,134,30
Other Liabilities +,"1,429","1,566","1,837","2,139","2,142","1,912"
Total Liabilities,"3,226","3,712","4,400","5,048","5,634","5,373"
Fixed Assets +,446,508,709,707,"1,803","1,941"
CWIP,33,43,44,41,76,25
Investments,456,659,567,207,0,0
Other Assets +,"2,291","2,501","3,080","4,093","3,754","3,406"
Total Assets,"3,226","3,712","4,400","5,048","5,634","5,373"
