,Mar 2006,Mar 2007,Mar 2008,Mar 2011,Mar 2012,Mar 2016,Mar 2017
Share Capital +,40,40,44,67,103,106,106
Reserves,485,534,622,950,"1,244",308,-673
Borrowings +,227,250,309,613,612,"5,539","6,186"
Other Liabilities +,425,816,"1,057","2,167","2,956",118,125
Total Liabilities,"1,178","1,640","2,032","3,797","4,915","6,073","5,744"
Fixed Assets +,31,41,59,56,76,33,28
CWIP,28,32,32,1,1,0,0
Investments,14,27,48,117,133,159,14
Other Assets +,"1,104","1,539","1,894","3,622","4,705","5,881","5,702"
Total Assets,"1,178","1,640","2,032","3,797","4,915","6,073","5,744"
