,Mar 2011,Mar 2012,Sep 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,34,34,34,34,34,34,34,34,39,39,39,39,31
Reserves,17,89,-50,-85,-140,-183,-194,-161,-107,-111,-120,-49,-32
Borrowings +,158,217,270,284,318,317,293,293,484,101,115,75,48
Other Liabilities +,136,137,138,197,193,200,181,104,72,58,51,29,18
Total Liabilities,332,464,379,416,393,355,302,257,476,73,73,80,65
Fixed Assets +,147,282,149,201,186,170,93,84,426,0,0,0,24
CWIP,8,14,1,1,1,1,1,1,1,0,0,0,0
Investments,5,2,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,173,166,228,214,206,184,208,172,49,73,73,80,41
Total Assets,332,464,379,416,393,355,302,257,476,73,73,80,65
