,Jun 2008,Dec 2009,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,654.01,434.62,176.45,31.66,11.17,7.92,7.75,2.86,1.46
Expenses +,581.78,487.93,280.06,40.47,14.95,5.42,5.33,2.83,3.16
Operating Profit,72.23,-53.31,-103.61,-8.81,-3.78,2.50,2.42,0.03,-1.70
OPM %,11.04%,-12.27%,-58.72%,-27.83%,-33.84%,31.57%,31.23%,1.05%,-116.44%
Other Income +,2.40,-120.80,-80.16,-9.01,-6.11,2.02,0.14,0.08,0.08
Interest,25.96,103.91,80.97,10.58,0.36,0.13,0.34,0.13,0.05
Depreciation,2.13,6.69,11.33,5.89,6.89,7.75,4.94,4.71,0.31
Profit before tax,46.54,-284.71,-276.07,-34.29,-17.14,-3.36,-2.72,-4.73,-1.98
Tax %,13.75%,-2.89%,55.24%,32.28%,31.68%,0.30%,-1.10%,0.00%,0.00%
Net Profit,40.14,-292.95,-123.58,-23.23,-11.71,-3.34,-2.75,-4.73,-1.98
EPS in Rs,21.37,-141.01,-54.26,-10.20,-5.14,-1.47,-1.21,-2.08,-0.87
