,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,159,180,157,166,186,199,208,268,339,242,213,331,367
Expenses +,139,157,147,158,178,191,203,245,310,227,199,297,330
Operating Profit,20,23,10,9,8,8,6,23,29,15,14,34,36
OPM %,13%,13%,7%,5%,4%,4%,3%,8%,9%,6%,7%,10%,10%
Other Income +,1,1,1,3,2,1,-2,3,136,4,10,4,4
Interest,3,5,5,4,5,5,7,8,8,11,10,8,8
Depreciation,3,3,4,5,5,5,5,6,6,8,9,10,11
Profit before tax,15,16,2,3,0,-1,-8,12,151,1,6,19,20
Tax %,33%,35%,62%,31%,-20%,-33%,39%,38%,21%,-443%,11%,32%,
Net Profit,11,11,1,1,0,-2,-5,7,119,3,5,14,14
EPS in Rs,9.02,8.94,0.67,0.70,0.14,-1.67,-3.88,5.92,99.50,2.61,4.38,11.42,11.54
