,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,24,24,24,36,44,47,47,47,47,47,63,63
Reserves,154,165,189,207,325,500,469,625,591,318,469,353,389
Borrowings +,52,78,67,111,460,385,109,125,194,118,366,244,250
Other Liabilities +,100,81,87,104,173,176,563,255,211,243,223,311,304
Total Liabilities,330,348,366,446,994,"1,104","1,188","1,052","1,042",726,"1,105",971,"1,006"
Fixed Assets +,86,83,86,138,630,579,152,230,247,294,262,329,361
CWIP,5,1,4,3,4,12,23,7,0,0,0,1,0
Investments,6,0,0,4,2,3,511,525,431,70,71,80,80
Other Assets +,233,264,276,302,359,511,502,290,364,362,772,561,565
Total Assets,330,348,366,446,994,"1,104","1,188","1,052","1,042",726,"1,105",971,"1,006"
