,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,19,19,19,20,20,20,20,21,22,25,25,25
Reserves,200,212,223,241,248,243,280,268,268,237,231,222,217
Borrowings +,44,56,55,50,58,72,59,67,64,142,90,73,86
Other Liabilities +,61,57,62,79,71,62,52,56,56,39,34,39,46
Total Liabilities,318,345,359,389,396,396,410,411,409,440,380,359,375
Fixed Assets +,110,118,120,123,131,142,142,135,128,193,151,125,131
CWIP,16,19,2,4,6,5,3,3,3,2,1,3,3
Investments,26,20,46,50,48,64,72,56,54,28,36,51,57
Other Assets +,166,187,191,212,210,184,193,217,224,217,191,181,184
Total Assets,318,345,359,389,396,396,410,411,409,440,380,359,375
