,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"8,229","7,865","7,302","7,613","7,611","6,377","7,265","8,103","3,042","2,404","3,590","3,641"
Expenses +,"7,872","7,524","7,092","7,313","7,334","5,905","6,722","7,783","3,382","2,369","3,351","3,505"
Operating Profit,358,342,210,300,277,472,542,320,-340,35,239,136
OPM %,4%,4%,3%,4%,4%,7%,7%,4%,-11%,1%,7%,4%
Other Income +,91,95,138,71,50,23,113,-11,124,146,220,"1,305"
Interest,153,303,380,318,419,440,404,488,278,200,173,182
Depreciation,29,38,34,30,66,77,83,87,68,68,67,69
Profit before tax,267,95,-66,23,-157,-22,169,-266,-562,-88,218,"1,190"
Tax %,32%,22%,14%,29%,22%,40%,14%,-3%,-37%,-44%,22%,
Net Profit,181,74,-57,14,-123,-13,146,-273,-773,-126,171,913
EPS in Rs,130.31,15.29,-10.52,2.13,-27.40,-5.22,27.91,-68.57,-190.74,-37.35,31.01,214.26
