,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,102,102,102,102,102,102,102,102,102,102,102,102,101
Reserves,"2,069","2,484","2,842","3,337","4,149","5,597","6,858","8,642","10,284","10,273","12,890","16,897","16,564"
Borrowings +,"1,092","2,289","2,918","2,700","2,651","2,442","5,207","5,407","7,899","7,986","4,608","4,221","2,446"
Other Liabilities +,"1,348","1,548","1,512","1,847","2,144","2,208","2,937","3,632","4,945","5,115","6,165","6,421","6,518"
Total Liabilities,"4,611","6,423","7,374","7,986","9,047","10,350","15,104","17,783","23,231","23,477","23,765","27,642","25,629"
Fixed Assets +,"1,833","2,857","3,026","3,124","3,352","3,748","5,755","6,483","12,164","12,230","12,133","12,253","12,271"
CWIP,431,484,736,892,798,951,"1,543","1,527",837,742,783,661,958
Investments,21,24,114,87,154,416,435,746,674,765,830,"3,288","1,087"
Other Assets +,"2,326","3,058","3,498","3,885","4,743","5,235","7,371","9,028","9,556","9,740","10,019","11,439","11,314"
Total Assets,"4,611","6,423","7,374","7,986","9,047","10,350","15,104","17,783","23,231","23,477","23,765","27,642","25,629"
