,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,39,39,39,39,39,39,39,39,58,58,64,64,64
Reserves,103,148,217,286,367,439,518,652,"3,329","3,403","4,504","4,780","4,894"
Borrowings +,-0,-0,-0,-0,-0,-0,25,25,"1,569","1,519",550,387,216
Other Liabilities +,77,80,93,99,102,89,100,112,503,610,548,461,331
Total Liabilities,219,267,349,425,508,568,682,829,"5,459","5,590","5,666","5,692","5,504"
Fixed Assets +,59,96,94,95,84,82,103,104,"4,567","4,674","4,667","4,710","4,710"
CWIP,31,-0,-0,0,0,0,0,0,10,4,4,12,21
Investments,-0,-0,-0,5,-0,94,30,148,46,110,-0,27,-0
Other Assets +,130,171,255,324,423,391,550,577,835,802,995,943,773
Total Assets,219,267,349,425,508,568,682,829,"5,459","5,590","5,666","5,692","5,504"
