ECEIND,ECE Industries Limited,-,EQ,10,Rights 1:1 @ Premium Rs.90/-,26-May-2010,28-May-2010,-,-,-,-
REIAGROLTD,Rei Agro Limited,-,EQ,1,Rights 2:1 @ Premium Rs.18.50,07-Jun-2010,08-Jun-2010,-,-,-,-
SUZLON,Suzlon Energy Limited,-,EQ,2,Rights 2:15 @ Premium Rs.61/-,09-Jun-2010,10-Jun-2010,-,-,-,-
SADBHAV,Sadbhav Engineering Limited,-,EQ,1,Rights Eq 1:20 @ Premium Rs.715 Per Share And 3 Warrants : 1 Eq,16-Jun-2010,17-Jun-2010,-,-,-,-
TRENT,Trent Limited,-,EQ,1,4 Ccps (2 Series A Ccps And 2 Series B Ccps) Issued @ Premium Of Rs 540 Per Ccps For 9 Eq Shares,08-Jul-2010,10-Jul-2010,-,-,-,-
GULFOILCOR,Gulf Oil Corporation Limited,-,EQ,2,Dividend Rs.1.80 Per Share And Rights 1:3 @ Premium Rs.30/- Per Share,27-Jul-2010,-,29-Jul-2010,29-Jul-2010,-,-
ROHITFERRO,Rohit Ferro-Tech Limited,-,EQ,10,Rights 2:5 @ Premium Rs.50/- Per Share,18-Aug-2010,20-Aug-2010,-,-,-,-
MYSOREBANK,State Bank of Mysore,-,EQ,10,Rights 3:10 @ Premium Rs.530/- Per Share,02-Sep-2010,04-Sep-2010,-,-,-,-
MURUDCERA,Murudeshwar Ceramics Limited,-,EQ,10,Rights 1:1 @ Premium Rs.10/- Per Share,19-Oct-2010,20-Oct-2010,-,-,-,-
JYOTISTRUC,Jyoti Structures Limited,-,EQ,2,Rights Issue - 1 Ncd (Issue Price Rs.120/- Per Ncd) With 2 Detachable Warrants (Exercise Price Rs.120/- Per Warrant) For Every 8 Equity Shares,13-Jan-2011,15-Jan-2011,-,-,-,-
KARURVYSYA,Karur Vysya Bank Limited,-,EQ,2,Rights 2:5 @ Premium Rs.140/- Per Share,17-Feb-2011,18-Feb-2011,-,-,-,-
EIHOTEL,EIH Limited,-,EQ,2,Rights 5:11 @ Premium Rs.64/- Per Share,21-Feb-2011,22-Feb-2011,-,-,-,-
KTKBANK,The Karnataka Bank Limited,-,EQ,10,Rights 2:5 @ Premium Rs 75 Per Share,25-Feb-2011,28-Feb-2011,-,-,-,-
ARROWTEX,Arrow Textiles Limited,-,EQ,10,Rights 2:5 @ Premium Re 1 Per Share,03-Mar-2011,04-Mar-2011,-,-,-,-
TULSYAN,Tulsyan Nec Limited,-,EQ,10,Rights At 2:1 At A Premium Of Rs.39.50 Per Share,10-Mar-2011,12-Mar-2011,-,-,-,-
SBBJ,State Bank of Bikaner and Jaipur,-,EQ,10,Rights 2:5 @ Premium Of Rs 380 Per Share,16-Mar-2011,17-Mar-2011,-,-,-,-
CENTRALBK,Central Bank of India,-,EQ,10,Rights Issue - 3:5 @ Premium Rs.93/-,17-Mar-2011,18-Mar-2011,-,-,-,-
ASAL,Automotive Stampings and Assemblies Limited,-,EQ,10,Rights 5:9 @ Premium Rs. 42 Per Share,09-Jun-2011,10-Jun-2011,-,-,-,-
ELFORGE,EL Forge Limited,-,EQ,10,Issues Price Per Equity Share Is At Par And Ratio Of The Rights Is 3:2 (Three Equity Shares For Every Two Shares Held),29-Jun-2011,30-Jun-2011,-,-,-,-
JKPAPER,JK Paper Limited,-,EQ,10,Rights 3:4 @ Premium Rs.32/- Per Share,26-Jul-2011,27-Jul-2011,-,-,-,-
BAJAJHIND,Bajaj Hindusthan Sugar Limited,-,EQ,1,Rights 2:1 @ Premium Rs.35/- Per Share,21-Sep-2011,22-Sep-2011,-,-,-,-
FAME,Fame India Limited,-,EQ,10,Rights 58:100 @ Premium Rs.34/- Per Share,24-Jan-2012,25-Jan-2012,-,-,-,-
GAYAPROJ,Gayatri Projects Limited,-,EQ,2,Rights 1:1 @ Premium Rs.110 Per Share,22-Feb-2012,23-Feb-2012,-,-,-,-
LGBFORGE,LGB Forge Limited,-,EQ,1,Rights 1:2 @ Premium Rs.1.75 Per Share,20-Mar-2012,21-Mar-2012,-,-,-,-
NEULANDLAB,Neuland Laboratories Limited,-,EQ,10,Rights 5:12 @ Premium Rs.35/- Per Share,21-Mar-2012,23-Mar-2012,-,-,-,-
SPARC,Sun Pharma Advanced Research Company Limited,-,EQ,1,Rights 1: 7@ Premium Rs 66 Per Share,23-Aug-2012,-,25-Aug-2012,27-Aug-2012,-,-
UTTAMSUGAR,Uttam Sugar Mills Limited,-,EQ,10,Rights 12:25 @ Premium Rs.12/- Per Share,05-Sep-2012,-,07-Sep-2012,07-Sep-2012,-,-
BAJAJFINSV,Bajaj Finserv Limited,-,EQ,1,Rights 1:10 @ Premium Rs.645/- Per Share,06-Sep-2012,08-Sep-2012,-,-,-,-
NETWORK18,Network18 Media & Investments Limited,-,EQ,5,Rights 307:50 @ Premium Rs.25/- Per Share,11-Sep-2012,12-Sep-2012,-,-,-,-
EIHAHOTELS,EIH Associated Hotels Limited,-,EQ,10,Rights 5:9 @ Premium Rs.90/- Per Share,11-Sep-2012,12-Sep-2012,-,-,-,-
TV18BRDCST,TV18 Broadcast Limited,-,EQ,2,Rights 41:11 @ Premium Rs.18/- Per Share,14-Sep-2012,17-Sep-2012,-,-,-,-
CUB,City Union Bank Limited,-,EQ,1,Rights 1:4 @ Premium Rs.19/- Per Share,22-Nov-2012,23-Nov-2012,-,-,-,-
BAJFINANCE,Bajaj Finance Limited,-,EQ,2,Rights 3:19 @ Premium Rs 1090 Per Share,23-Jan-2013,25-Jan-2013,-,-,-,-
ALOKTEXT,Alok Industries Limited,-,EQ,10,Rights - 2:3@ Par Rs 10 Per Share,15-Feb-2013,19-Feb-2013,-,-,-,-
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,-,EQ,10,Rights 1:5 @ Premium Rs.120 Per Share,05-Mar-2013,06-Mar-2013,-,-,-,-
KESORAMIND,Kesoram Industries Limited,-,EQ,10,Rights 7:5@Premium Rs.55 Per Share/Annual General Meeting / Dividend Re.1/- Per Equity Share (Purpose Revised),15-May-2013,16-May-2013,-,-,-,-
RELMEDIA,Reliance MediaWorks Limited,-,EQ,5,Rights 13:4 @ Premium Rs.35 Per Share,23-Jul-2013,24-Jul-2013,-,-,-,-
ASAHIINDIA,Asahi India Glass Limited,-,EQ,1,Rights 13:25 @ Premium Rs 29/- Per Share,26-Jul-2013,-,30-Jul-2013,30-Jul-2013,-,-
KOKUYOCMLN,Kokuyo Camlin Limited,-,EQ,1,Rights 14:29 @ Premium Rs.32/- Per Share,01-Aug-2013,02-Aug-2013,-,-,-,-
GODREJPROP,Godrej Properties Limited,-,EQ,5,Rights 8:29 @ Premium Rs.315/- Per Equity Share,19-Aug-2013,20-Aug-2013,-,-,-,-
UNIENTER,Uniphos Enterprises Limited,-,EQ,2,Rights 173:100 @ Premium Rs.15/- Per Share,18-Sep-2013,19-Sep-2013,-,-,-,-
COROENGG,Coromandel Engineering Company Limited,-,EQ,10,Rights 91:10 @ Premium Rs.10/- Per Share,13-Jan-2014,15-Jan-2014,-,-,-,-
MUKANDLTD,Mukand Limited,-,EQ,10,Rights 1:1 @ Premium Rs.11/- Per Equity Share,10-Feb-2014,11-Feb-2014,-,-,-,-
WHEELS,Wheels India Limited,-,EQ,10,Rights 51:20 @ Premium Rs.390/- Per Equity Share,13-Feb-2014,14-Feb-2014,-,-,-,-
IL&FSTRANS,IL&FS Transportation Networks Limited,-,EQ,10,Rights 27:100 @ Premium Rs.90/- Per Equity Share,13-Mar-2014,14-Mar-2014,-,-,-,-
EASUNREYRL,Easun Reyrolle Limited,-,EQ,2,Rights 12:25 @ Premium Rs.57/- Per Equity Share,13-Mar-2014,17-Mar-2014,-,-,-,-
TATAPOWER,Tata Power Company Limited,-,EQ,1,Rights 7:50 @ Premium Rs.59/- Per Equity Share,19-Mar-2014,20-Mar-2014,-,-,-,-
RAMCOSYS,Ramco Systems Limited,-,EQ,10,Rights 1:2 @ Premium Rs.145/- Per Equity Share,22-Apr-2014,23-Apr-2014,-,-,-,-
INDHOTEL,The Indian Hotels Company Limited,-,EQ,1,9 Ccds For Every 40 Equity Shares,18-Jul-2014,21-Jul-2014,-,-,-,-
LAKSHVILAS,Lakshmi Vilas Bank Limited,-,EQ,10,Dividend Re1/- Per Share + Rights Issue 5:6,25-Jul-2014,28-Jul-2014,-,-,-,-
NEULANDLAB,Neuland Laboratories Limited,-,EQ,10,Rights Issue 4 : 25 @ Premium Rs 194/- Per Equity Share,13-Aug-2014,14-Aug-2014,-,-,-,-
NCC,NCC Limited,-,EQ,2,Rights 7 : 6 @ Premium Rs 18/- Per Share,18-Sep-2014,19-Sep-2014,-,-,-,-
MIRCELECTR,MIRC Electronics Limited,-,EQ,1,Rights 5:13 @Premium Rs.5,18-Sep-2014,-,22-Sep-2014,22-Sep-2014,-,-
FEL,Future Enterprises Limited,-,EQ,2,Rights 5:8 @ Premium Rs.101/- Per Equity Share,18-Nov-2014,19-Nov-2014,-,-,-,-
FELDVR,Future Enterprises Limited,-,EQ,2,Rights 5:8 @ Premium Rs 48.25/- Per Equity Share,18-Nov-2014,19-Nov-2014,-,-,-,-
CANFINHOME,Can Fin Homes Limited,-,EQ,2,Rights 3:10 @ Premium Rs 440/- Per Share,23-Jan-2015,27-Jan-2015,-,-,-,-
SBT,State Bank of Travancore,-,EQ,10,Rights 1:5 @ Premium Rs 390/- Per Share,03-Mar-2015,04-Mar-2015,-,-,-,-
GMRINFRA,GMR Airports Infrastructure Limited,-,EQ,1,Rights 3:14 @ Premium Rs 14/- Per Share,11-Mar-2015,12-Mar-2015,-,-,-,-
ZEEMEDIA,Zee Media Corporation Limited,-,EQ,1,Rights 3:10 @ Premium Rs 17/- Per Share,16-Mar-2015,17-Mar-2015,-,-,-,-
TATAMOTORS,Tata Motors Limited,-,EQ,2,Rights 6:109 @ Premium Rs. 448/- Per Share,06-Apr-2015,-,08-Apr-2015,08-Apr-2015,-,-
TATAMTRDVR,Tata Motors Limited,-,EQ,2,Rights 6:109 @ Premium Rs.269/- Per Share,06-Apr-2015,-,08-Apr-2015,08-Apr-2015,-,-
VASCONEQ,Vascon Engineers Limited,-,EQ,10,Rights 14:19 @ Premium Rs 5/- Per Share,23-Jun-2015,24-Jun-2015,-,-,-,-
UNIVCABLES,Universal Cables Limited,-,EQ,10,Rights 1:2 @ Premium Rs.41/- Per Share,16-Sep-2015,18-Sep-2015,-,-,-,-
IL&FSTRANS,IL&FS Transportation Networks Limited,-,EQ,10,Rights 1:3 @ Premium Rs.80/- Per Share,07-Oct-2015,08-Oct-2015,-,-,-,-
